INFO:     Started server process [93406]
INFO:     Waiting for application startup.
Starting MCP Registry vdev
Server will be available at http://0.0.0.0:8080
Using in-memory database
Importing seed data...
Importing 396 servers into memory database
[1/396] Imported server: io.github.21st-dev/magic-mcp
[2/396] Imported server: io.github.adfin-engineering/mcp-server-adfin
[3/396] Imported server: io.github.tinyfish-io/agentql-mcp
[4/396] Imported server: io.github.agentrpc/agentrpc
[5/396] Imported server: io.github.aiven-open/mcp-aiven
[6/396] Imported server: io.github.aliyun/alibabacloud-adb-mysql-mcp-server
[7/396] Imported server: io.github.aliyun/alibaba-cloud-ops-mcp-server
[8/396] Imported server: io.github.apache/iotdb-mcp-server
[9/396] Imported server: io.github.apache/iotdb
[10/396] Imported server: io.github.apify/actors-mcp-server
[11/396] Imported server: io.github.apimatic/apimatic-validator-mcp
[12/396] Imported server: io.github.arize-ai/phoenix
[13/396] Imported server: io.github.datastax/astra-db-mcp
[14/396] Imported server: io.github.audienseco/mcp-audiense-insights
[15/396] Imported server: io.github.bankless/onchain-mcp
[16/396] Imported server: io.github.ahnlabio/bicscan-mcp
[17/396] Imported server: io.github.bitrise-io/bitrise-mcp
[18/396] Imported server: io.github.box-community/mcp-server-box
[19/396] Imported server: io.github.chroma-core/chroma-mcp
[20/396] Imported server: io.github.circleci-public/mcp-server-circleci
[21/396] Imported server: io.github.clickhouse/mcp-clickhouse
[22/396] Imported server: io.github.cloudflare/mcp-server-cloudflare
[23/396] Imported server: io.github.codacy/codacy-mcp-server
[24/396] Imported server: io.github.codelogicincengineering/codelogic-mcp-server
[25/396] Imported server: io.github.comet-ml/opik-mcp
[26/396] Imported server: io.github.couchbase-ecosystem/mcp-server-couchbase
[27/396] Imported server: io.github.its-dart/dart-mcp-server
[28/396] Imported server: io.github.devhub/devhub-cms-mcp
[29/396] Imported server: io.github.dynatrace-oss/dynatrace-mcp
[30/396] Imported server: io.github.e2b-dev/mcp-server
[31/396] Imported server: io.github.edgee-cloud/mcp-server-edgee
[32/396] Imported server: io.github.edubase/mcp
[33/396] Imported server: io.github.elastic/mcp-server-elasticsearch
[34/396] Imported server: io.github.esignaturescom/mcp-server-esignatures
[35/396] Imported server: io.github.exa-labs/exa-mcp-server
[36/396] Imported server: io.github.fewsats/fewsats-mcp
[37/396] Imported server: io.github.fibery-inc/fibery-mcp-server
[38/396] Imported server: io.github.financial-datasets/mcp-server
[39/396] Imported server: io.github.mendableai/firecrawl-mcp-server
[40/396] Imported server: io.github.fireproof-storage/mcp-database-server
[41/396] Imported server: io.github.gleanwork/mcp-server
[42/396] Imported server: io.github.nota/gyazo-mcp-server
[43/396] Imported server: io.github.gotohuman/gotohuman-mcp-server
[44/396] Imported server: io.github.grafana/mcp-grafana
[45/396] Imported server: io.github.graphlit/graphlit-mcp-server
[46/396] Imported server: io.github.greptimeteam/greptimedb-mcp-server
[47/396] Imported server: io.github.heroku/heroku-mcp-server
[48/396] Imported server: io.github.aliyun/alibabacloud-hologres-mcp-server
[49/396] Imported server: io.github.hyperbrowserai/mcp
[50/396] Imported server: io.github.elie222/inbox-zero
[51/396] Imported server: io.github.inkeep/mcp-server-python
[52/396] Imported server: io.github.integration-app/mcp-server
[53/396] Imported server: io.github.jetbrains/mcp-jetbrains
[54/396] Imported server: io.github.kagisearch/kagimcp
[55/396] Imported server: io.github.keboola/keboola-mcp-server
[56/396] Imported server: io.github.translated/lara-mcp
[57/396] Imported server: io.github.pydantic/logfire-mcp
[58/396] Imported server: io.github.langfuse/mcp-server-langfuse
[59/396] Imported server: io.github.lingodotdev/lingo.dev
[60/396] Imported server: io.github.integromat/make-mcp-server
[61/396] Imported server: io.github.meilisearch/meilisearch-mcp
[62/396] Imported server: io.github.memgraph/mcp-memgraph
[63/396] Imported server: io.github.zilliztech/mcp-server-milvus
[64/396] Imported server: io.github.momentohq/mcp-momento
[65/396] Imported server: io.github.mongodb-js/mongodb-mcp-server
[66/396] Imported server: io.github.motherduckdb/mcp-server-motherduck
[67/396] Imported server: io.github.needle-ai/needle-mcp
[68/396] Imported server: io.github.neondatabase/mcp-server-neon
[69/396] Imported server: io.github.oceanbase/mcp-oceanbase
[70/396] Imported server: io.github.octagonai/octagon-mcp-server
[71/396] Imported server: io.github.oxylabs/oxylabs-mcp
[72/396] Imported server: io.github.paddlehq/paddle-mcp-server
[73/396] Imported server: io.github.ppl-ai/modelcontextprotocol
[74/396] Imported server: io.github.pinecone-io/pinecone-mcp
[75/396] Imported server: io.github.pinecone-io/assistant-mcp
[76/396] Imported server: io.github.ragieai/ragie-mcp-server
[77/396] Imported server: io.github.redis/mcp-redis
[78/396] Imported server: io.github.redis/mcp-redis-cloud
[79/396] Imported server: io.github.qdrant/mcp-server-qdrant
[80/396] Imported server: io.github.ramp-public/ramp-mcp
[81/396] Imported server: io.github.mindscapehq/mcp-server-raygun
[82/396] Imported server: io.github.rember/rember-mcp
[83/396] Imported server: io.github.riza-io/riza-mcp
[84/396] Imported server: io.github.fatwang2/search1api-mcp
[85/396] Imported server: io.github.screenshotone/mcp
[86/396] Imported server: io.github.semgrep/mcp
[87/396] Imported server: io.github.singlestore-labs/mcp-server-singlestore
[88/396] Imported server: io.github.tavily-ai/tavily-mcp
[89/396] Imported server: io.github.msgbyte/tianji
